Date,VIC
25-Jan-20,1
26-Jan-20,0
27-Jan-20,0
28-Jan-20,0
29-Jan-20,2
30-Jan-20,0
31-Jan-20,0
1-Feb-20,1
2-Feb-20,0
3-Feb-20,0
4-Feb-20,0
5-Feb-20,0
6-Feb-20,0
7-Feb-20,0
8-Feb-20,0
9-Feb-20,0
10-Feb-20,0
11-Feb-20,0
12-Feb-20,0
13-Feb-20,0
14-Feb-20,0
15-Feb-20,0
16-Feb-20,0
17-Feb-20,0
18-Feb-20,0
19-Feb-20,0
20-Feb-20,0
21-Feb-20,0
22-Feb-20,0
23-Feb-20,0
24-Feb-20,0
25-Feb-20,0
26-Feb-20,0
27-Feb-20,3
28-Feb-20,0
29-Feb-20,0
1-Mar-20,2
2-Mar-20,0
3-Mar-20,0
4-Mar-20,1
5-Mar-20,0
6-Mar-20,0
7-Mar-20,1
8-Mar-20,1
9-Mar-20,3
10-Mar-20,3
11-Mar-20,3
12-Mar-20,6
13-Mar-20,9
14-Mar-20,13
15-Mar-20,8
16-Mar-20,14
17-Mar-20,23
18-Mar-20,27
19-Mar-20,29
20-Mar-20,28
21-Mar-20,51
22-Mar-20,67
23-Mar-20,59
24-Mar-20,56
25-Mar-20,55
26-Mar-20,54
27-Mar-20,54
28-Mar-20,111
29-Mar-20,84
30-Mar-20,52
31-Mar-20,96
1-Apr-20,51
2-Apr-20,68
3-Apr-20,49
4-Apr-20,30
5-Apr-20,20
6-Apr-20,23
7-Apr-20,33
8-Apr-20,21
9-Apr-20,16
10-Apr-20,13
11-Apr-20,24
12-Apr-20,3
13-Apr-20,13
14-Apr-20,10
15-Apr-20,8
16-Apr-20,2
17-Apr-20,1
18-Apr-20,17
19-Apr-20,9
20-Apr-20,1
21-Apr-20,7
22-Apr-20,0
23-Apr-20,1
24-Apr-20,6
25-Apr-20,3
26-Apr-20,3
27-Apr-20,0
28-Apr-20,2
29-Apr-20,3
30-Apr-20,7
1-May-20,3
2-May-20,7
3-May-20,13
4-May-20,22
5-May-20,17
6-May-20,17
7-May-20,15
8-May-20,14
9-May-20,10
10-May-20,10
11-May-20,7
12-May-20,13
13-May-20,5
14-May-20,9
15-May-20,20
16-May-20,11
17-May-20,7
18-May-20,6
19-May-20,6
20-May-20,7
21-May-20,1
22-May-20,12
23-May-20,9
24-May-20,1
25-May-20,2
26-May-20,5
27-May-20,8
28-May-20,10
29-May-20,6
30-May-20,11
31-May-20,4
1-Jun-20,4
2-Jun-20,10
3-Jun-20,7
4-Jun-20,8
5-Jun-20,3
6-Jun-20,0
7-Jun-20,4
8-Jun-20,2
9-Jun-20,0
10-Jun-20,4
11-Jun-20,8
12-Jun-20,4
13-Jun-20,8
14-Jun-20,9
15-Jun-20,12
16-Jun-20,9
17-Jun-20,21
18-Jun-20,18
19-Jun-20,12
20-Jun-20,25
21-Jun-20,19
22-Jun-20,11
23-Jun-20,17
24-Jun-20,20
25-Jun-20,33
26-Jun-20,30
27-Jun-20,40
28-Jun-20,41
29-Jun-20,71
30-Jun-20,60
1-Jul-20,72
2-Jul-20,72
3-Jul-20,65
4-Jul-20,101
5-Jul-20,67
6-Jul-20,124
7-Jul-20,164
8-Jul-20,118
9-Jul-20,156
10-Jul-20,281
11-Jul-20,181
12-Jul-20,239
13-Jul-20,168
14-Jul-20,257
15-Jul-20,224
16-Jul-20,302
17-Jul-20,415
18-Jul-20,188
19-Jul-20,343
20-Jul-20,246
21-Jul-20,347
22-Jul-20,450
23-Jul-20,386
24-Jul-20,280
25-Jul-20,339
26-Jul-20,437
27-Jul-20,515
28-Jul-20,353
29-Jul-20,255
30-Jul-20,694
31-Jul-20,579
1-Aug-20,354
2-Aug-20,626
3-Aug-20,380
4-Aug-20,398
5-Aug-20,700
6-Aug-20,434
7-Aug-20,398
8-Aug-20,416
9-Aug-20,376
10-Aug-20,298
11-Aug-20,294
12-Aug-20,395
13-Aug-20,217
14-Aug-20,371
15-Aug-20,283
16-Aug-20,247
17-Aug-20,263
18-Aug-20,211
19-Aug-20,208
20-Aug-20,237
21-Aug-20,169
22-Aug-20,177
23-Aug-20,202
24-Aug-20,99
25-Aug-20,134
26-Aug-20,144
27-Aug-20,106
28-Aug-20,108
29-Aug-20,81
30-Aug-20,112
31-Aug-20,65
1-Sep-20,58
2-Sep-20,86
3-Sep-20,112
4-Sep-20,79
5-Sep-20,64
6-Sep-20,59
7-Sep-20,36
8-Sep-20,41
9-Sep-20,73
10-Sep-20,40
11-Sep-20,39
12-Sep-20,33
13-Sep-20,35
14-Sep-20,37
15-Sep-20,39
16-Sep-20,32
17-Sep-20,27
18-Sep-20,42
19-Sep-20,22
20-Sep-20,8
21-Sep-20,9
22-Sep-20,25
23-Sep-20,24
24-Sep-20,5
25-Sep-20,13
26-Sep-20,11
27-Sep-20,16
28-Sep-20,4
29-Sep-20,9
30-Sep-20,11
1-Oct-20,14
2-Oct-20,8
3-Oct-20,6
4-Oct-20,12
5-Oct-20,11
6-Oct-20,13
7-Oct-20,4
8-Oct-20,10
9-Oct-20,10
10-Oct-20,12
11-Oct-20,12
12-Oct-20,14
13-Oct-20,10
14-Oct-20,6
15-Oct-20,6
